date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2015-01-05,Thanasi Kokkinakis,Julien Benneteau,,,RH,RH,M
2015-01-05,Jeremy Chardy,Andrey Golubev,,,RH,RH,M
2015-01-05,Bernard Tomic,Sam Querrey,,,RH,RH,M
2015-01-06,Lukasz Kubot,Kevin Anderson,,,RH,RH,M
2015-01-06,Steve Johnson,Marinko Matosevic,,,RH,RH,M
2015-01-06,Jarkko Nieminen,Denis Kudla,,,LH,RH,M
2015-01-06,Martin Klizan,Jurgen Melzer,,,LH,LH,M
2015-01-06,Samuel Groth,Lleyton Hewitt,,,RH,RH,M
2015-01-07,Kei Nishikori,Steve Johnson,,,RH,RH,M
2015-01-07,Grigor Dimitrov,Jeremy Chardy,,,RH,RH,M
2015-01-07,Bernard Tomic,Thanasi Kokkinakis,,,RH,RH,M
2015-01-08,Milos Raonic,Mikhail Kukushkin,,,RH,RH,M
2015-01-08,Samuel Groth,Lukasz Kubot,,,RH,RH,M
2015-01-08,Roger Federer,John Millman,,,RH,RH,M
2015-01-09,Milos Raonic,Samuel Groth,,,RH,RH,M
2015-01-09,Grigor Dimitrov,Martin Klizan,,,RH,LH,M
2015-01-09,Kei Nishikori,Bernard Tomic,,,RH,RH,M
2015-01-10,Milos Raonic,Kei Nishikori,,,RH,RH,M
2015-01-10,Roger Federer,Grigor Dimitrov,,,RH,RH,M
2015-01-11,Roger Federer,Milos Raonic,,,RH,RH,M
2015-01-05,Borna Coric,Robin Haase,,,RH,RH,M
2015-01-06,Ricardas Berankis,Luca Vanni,,,RH,RH,M
2015-01-06,Aljaz Bedene,Lukas Lacko,,,RH,RH,M
2015-01-06,Peter Gojowczyk,Alejandro Falla,,,RH,LH,M
2015-01-07,David Goffin,Ricardas Berankis,,,RH,RH,M
2015-01-07,Gilles Muller,Elias Ymer,,,LH,RH,M
2015-01-07,Stan Wawrinka,Borna Coric,,,RH,RH,M
2015-01-08,Aljaz Bedene,Feliciano Lopez,,,RH,LH,M
2015-01-09,Stan Wawrinka,Gilles Muller,,,RH,LH,M
2015-01-10,Stan Wawrinka,David Goffin,,,RH,RH,M
2015-01-11,Stan Wawrinka,Aljaz Bedene,,,RH,RH,M
2015-01-05,Simone Bolelli,Benjamin Becker,,,RH,RH,M
2015-01-05,Ivan Dodig,Mohamed Safwat,,,RH,RH,M
2015-01-05,Richard Gasquet,Pablo Andujar,,,RH,RH,M
2015-01-05,Dustin Brown,Paolo Lorenzi,,,RH,RH,M
2015-01-05,Fernando Verdasco,Teymuraz Gabashvili,,,LH,RH,M
2015-01-05,Ivo Karlovic,Lukas Rosol,,,RH,RH,M
2015-01-06,Tomas Berdych,Denis Istomin,,,RH,RH,M
2015-01-06,Andreas Seppi,Leonardo Mayer,,,RH,RH,M
2015-01-06,Blaz Kavcic,Juan Monaco,,,RH,RH,M
2015-01-06,Nikoloz Basilashvili,Mikhail Youzhny,,,RH,RH,M
2015-01-06,Novak Djokovic,Dusan Lajovic,,,RH,RH,M
2015-01-06,Michael Berrer,Rafael Nadal,,,LH,LH,M
2015-01-06,Joao Souza,Malek Jaziri,,,RH,RH,M
2015-01-06,David Ferrer,Thiemo De Bakker,,,RH,RH,M
2015-01-07,Ivo Karlovic,Nikoloz Basilashvili,,,RH,RH,M
2015-01-07,Andreas Seppi,Joao Souza,,,RH,RH,M
2015-01-07,David Ferrer,Fernando Verdasco,,,RH,LH,M
2015-01-07,Novak Djokovic,Sergiy Stakhovsky,,,RH,RH,M
2015-01-07,Ivan Dodig,Michael Berrer,,,RH,LH,M
2015-01-07,Tomas Berdych,Blaz Kavcic,,,RH,RH,M
2015-01-07,Richard Gasquet,Simone Bolelli,,,RH,RH,M
2015-01-08,David Ferrer,Dustin Brown,,,RH,RH,M
2015-01-08,Ivo Karlovic,Novak Djokovic,,,RH,RH,M
2015-01-08,Tomas Berdych,Richard Gasquet,,,RH,RH,M
2015-01-08,Andreas Seppi,Ivan Dodig,,,RH,RH,M
2015-01-09,David Ferrer,Ivo Karlovic,,,RH,RH,M
2015-01-09,Tomas Berdych,Andreas Seppi,,,RH,RH,M
2015-01-10,David Ferrer,Tomas Berdych,,,RH,RH,M
2015-01-12,Adrian Mannarino,Federico Delbonis,,,LH,LH,M
2015-01-12,Steve Johnson,Joao Sousa,,,RH,RH,M
2015-01-12,Kenny De Schepper,Santiago Giraldo,,,LH,RH,M
2015-01-13,Jiri Vesely,Thomaz Bellucci,,,LH,LH,M
2015-01-13,Donald Young,Go Soeda,,,LH,RH,M
2015-01-13,Alejandro Falla,Kenny De Schepper,,,LH,LH,M
2015-01-14,Donald Young,Diego Schwartzman,,,LH,RH,M
2015-01-14,Jiri Vesely,Ernests Gulbis,,,LH,RH,M
2015-01-14,Adrian Mannarino,Alejandro Falla,,,LH,LH,M
2015-01-15,Jiri Vesely,Donald Young,,,LH,LH,M
2015-01-15,Kevin Anderson,Steve Johnson,,,RH,RH,M
2015-01-16,Adrian Mannarino,Lucas Pouille,,,LH,RH,M
2015-01-16,Jiri Vesely,Kevin Anderson,,,LH,RH,M
2015-01-17,Jiri Vesely,Adrian Mannarino,,,LH,LH,M
2015-01-12,Pablo Cuevas,Nicolas Almagro,,,RH,RH,M
2015-01-12,Leonardo Mayer,Benjamin Becker,,,RH,RH,M
2015-01-12,Simone Bolelli,Marinko Matosevic,,,RH,RH,M
2015-01-13,Pablo Andujar,Jarkko Nieminen,,,RH,LH,M
2015-01-13,Mikhail Kukushkin,Denis Istomin,,,RH,RH,M
2015-01-13,Vasek Pospisil,Andreas Seppi,,,RH,RH,M
2015-01-13,Jeremy Chardy,Sam Querrey,,,RH,RH,M
2015-01-13,Viktor Troicki,Martin Klizan,,,RH,LH,M
2015-01-13,Gilles Muller,Samuel Groth,,,LH,RH,M
2015-01-13,Jerzy Janowicz,Nick Kyrgios,,,RH,RH,M
2015-01-14,Simone Bolelli,David Goffin,,,RH,RH,M
2015-01-14,Mikhail Kukushkin,Pablo Cuevas,,,RH,RH,M
2015-01-14,Julien Benneteau,Vasek Pospisil,,,RH,RH,M
2015-01-14,Leonardo Mayer,Jerzy Janowicz,,,RH,RH,M
2015-01-14,Viktor Troicki,Pablo Andujar,,,RH,RH,M
2015-01-14,Gilles Muller,Jeremy Chardy,,,LH,RH,M
2015-01-14,Bernard Tomic,Philipp Kohlschreiber,,,RH,RH,M
2015-01-15,Leonardo Mayer,Julien Benneteau,,,RH,RH,M
2015-01-15,Viktor Troicki,Simone Bolelli,,,RH,RH,M
2015-01-15,Gilles Muller,Bernard Tomic,,,LH,RH,M
2015-01-16,Mikhail Kukushkin,Leonardo Mayer,,,RH,RH,M
2015-01-16,Viktor Troicki,Gilles Muller,,,RH,LH,M
2015-01-17,Viktor Troicki,Mikhail Kukushkin,,,RH,RH,M
2015-01-19,Grigor Dimitrov,Dustin Brown,,,RH,RH,M
2015-01-19,Kevin Anderson,Diego Schwartzman,,,RH,RH,M
2015-01-19,Jeremy Chardy,Borna Coric,,,RH,RH,M
2015-01-19,Lukas Lacko,Maximo Gonzalez,,,RH,RH,F
2015-01-19,Andreas Seppi,Denis Istomin,,,RH,RH,M
2015-01-19,Martin Klizan,Tatsuma Ito,,,LH,RH,M
2015-01-19,Richard Gasquet,Carlos Berlocq,,,RH,RH,M
2015-01-19,David Goffin,Michael Russell,,,RH,RH,M
2015-01-19,Marcos Baghdatis,Teymuraz Gabashvili,,,RH,RH,M
2015-01-19,Tomas Berdych,Alejandro Falla,,,RH,LH,M
2015-01-19,Rafael Nadal,Mikhail Youzhny,,,LH,RH,M
2015-01-19,Bernard Tomic,Tobias Kamke,,,RH,RH,M
2015-01-19,Lukas Rosol,Kenny De Schepper,,,RH,LH,M
2015-01-19,Leonardo Mayer,John Millman,,,RH,RH,M
2015-01-19,Samuel Groth,Filip Krajinovic,,,RH,RH,M
2015-01-19,Simone Bolelli,Juan Monaco,,,RH,RH,M
2015-01-19,Viktor Troicki,Jiri Vesely,,,RH,LH,M
2015-01-19,Thanasi Kokkinakis,Ernests Gulbis,,,RH,RH,M
2015-01-19,Malek Jaziri,Mikhail Kukushkin,,,RH,RH,M
2015-01-19,Ivo Karlovic,Ruben Bemelmans,,,RH,LH,M
2015-01-19,Nick Kyrgios,Federico Delbonis,,,RH,LH,M
2015-01-20,Alejandro Gonzalez,Fabio Fognini,,,RH,RH,M
2015-01-20,Feliciano Lopez,Denis Kudla,,,LH,RH,M
2015-01-20,Adrian Mannarino,Blaz Rola,,,LH,LH,M
2015-01-20,Kei Nishikori,Nicolas Almagro,,,RH,RH,M
2015-01-20,Steve Johnson,Kyle Edmund,,,RH,RH,M
2015-01-20,Santiago Giraldo,Jan Hernych,,,RH,RH,M
2015-01-20,Donald Young,Tim Puetz,,,LH,RH,M
2015-01-20,Fernando Verdasco,James Ward,,,LH,RH,M
2015-01-20,Milos Raonic,Illya Marchenko,,,RH,RH,M
2015-01-20,Stan Wawrinka,Marsel Ilhan,,,RH,RH,M
2015-01-20,Marcel Granollers,Stephane Robert,,,RH,RH,M
2015-01-20,Ivan Dodig,Joao Souza,,,RH,RH,M
2015-01-20,Gilles Simon,Robin Haase,,,RH,RH,M
2015-01-20,Novak Djokovic,Aljaz Bedene,,,RH,RH,M
2015-01-20,David Ferrer,Thomaz Bellucci,,,RH,LH,M
2015-01-20,Matthias Bachinger,Pablo Cuevas,,,RH,RH,M
2015-01-20,Go Soeda,Elias Ymer,,,RH,RH,M
2015-01-20,Jarkko Nieminen,Andrey Golubev,,,LH,RH,M
2015-01-20,Sergiy Stakhovsky,Dusan Lajovic,,,RH,RH,M
2015-01-20,Jerzy Janowicz,Hiroki Moriya,,,RH,RH,M
2015-01-20,Benjamin Becker,Julien Benneteau,,,RH,RH,M
2015-01-20,Vasek Pospisil,Sam Querrey,,,RH,RH,M
2015-01-20,Gael Monfils,Lucas Pouille,,,RH,RH,M
2015-01-21,Tomas Berdych,Jurgen Melzer,,,RH,LH,M
2015-01-21,Marcos Baghdatis,David Goffin,,,RH,RH,M
2015-01-21,Viktor Troicki,Leonardo Mayer,,,RH,RH,M
2015-01-21,Joao Sousa,Martin Klizan,,,RH,LH,M
2015-01-21,Andy Murray,Marinko Matosevic,,,RH,RH,M
2015-01-21,Kevin Anderson,Ricardas Berankis,,,RH,RH,M
2015-01-21,Grigor Dimitrov,Lukas Lacko,,,RH,RH,M
2015-01-21,Roger Federer,Simone Bolelli,,,RH,RH,M
2015-01-21,Andreas Seppi,Jeremy Chardy,,,RH,RH,M
2015-01-21,Dudi Sela,Lukas Rosol,,,RH,RH,M
2015-01-21,Nick Kyrgios,Ivo Karlovic,,,RH,RH,M
2015-01-21,Samuel Groth,Thanasi Kokkinakis,,,RH,RH,M
2015-01-21,Rafael Nadal,Tim Smyczek,,,LH,RH,M
2015-01-21,Bernard Tomic,Philipp Kohlschreiber,,,RH,RH,M
2015-01-22,Feliciano Lopez,Adrian Mannarino,,,LH,LH,M
2015-01-22,Jarkko Nieminen,Matthias Bachinger,,,LH,RH,M
2015-01-22,Kei Nishikori,Ivan Dodig,,,RH,RH,M
2015-01-22,Steve Johnson,Santiago Giraldo,,,RH,RH,M
2015-01-22,Vasek Pospisil,Paolo Lorenzi,,,RH,RH,M
2015-01-22,Gilles Simon,Marcel Granollers,,,RH,RH,M
2015-01-22,David Ferrer,Sergiy Stakhovsky,,,RH,RH,M
2015-01-22,Jerzy Janowicz,Gael Monfils,,,RH,RH,M
2015-01-22,Benjamin Becker,Lleyton Hewitt,,,RH,RH,M
2015-01-22,Fernando Verdasco,Go Soeda,,,LH,RH,M
2015-01-22,Milos Raonic,Donald Young,,,RH,LH,M
2015-01-23,Grigor Dimitrov,Marcos Baghdatis,,,RH,RH,M
2015-01-23,Tomas Berdych,Viktor Troicki,,,RH,RH,M
2015-01-23,Andreas Seppi,Roger Federer,,,RH,RH,M
2015-01-23,Andy Murray,Joao Sousa,,,RH,RH,M
2015-01-23,Bernard Tomic,Samuel Groth,,,RH,RH,M
2015-01-23,Kevin Anderson,Richard Gasquet,,,RH,RH,M
2015-01-23,Nick Kyrgios,Malek Jaziri,,,RH,RH,M
2015-01-23,Rafael Nadal,Dudi Sela,,,LH,RH,M
2015-01-24,Milos Raonic,Benjamin Becker,,,RH,RH,M
2015-01-24,Feliciano Lopez,Jerzy Janowicz,,,LH,RH,M
2015-01-24,Stan Wawrinka,Jarkko Nieminen,,,RH,LH,M
2015-01-24,Kei Nishikori,Steve Johnson,,,RH,RH,M
2015-01-24,Gilles Muller,John Isner,,,LH,RH,M
2015-01-24,Novak Djokovic,Fernando Verdasco,,,RH,LH,M
2015-01-24,David Ferrer,Gilles Simon,,,RH,RH,M
2015-01-25,Tomas Berdych,Bernard Tomic,,,RH,RH,M
2015-01-25,Rafael Nadal,Kevin Anderson,,,LH,RH,M
2015-01-25,Nick Kyrgios,Andreas Seppi,,,RH,RH,M
2015-01-25,Andy Murray,Grigor Dimitrov,,,RH,RH,M
2015-01-26,Kei Nishikori,David Ferrer,,,RH,RH,M
2015-01-26,Milos Raonic,Feliciano Lopez,,,RH,LH,M
2015-01-26,Novak Djokovic,Gilles Muller,,,RH,LH,M
2015-01-27,Tomas Berdych,Rafael Nadal,,,RH,LH,M
2015-01-27,Andy Murray,Nick Kyrgios,,,RH,RH,M
2015-01-28,Stan Wawrinka,Kei Nishikori,,,RH,RH,M
2015-01-28,Novak Djokovic,Milos Raonic,,,RH,RH,M
2015-01-29,Andy Murray,Tomas Berdych,,,RH,RH,M
2015-01-30,Novak Djokovic,Stan Wawrinka,,,RH,RH,M
2015-02-01,Novak Djokovic,Andy Murray,,,RH,RH,M
2015-02-02,Tobias Kamke,Vincent Millot,,,RH,LH,M
2015-02-02,Jerzy Janowicz,Dustin Brown,,,RH,RH,M
2015-02-03,Kenny De Schepper,Marsel Ilhan,,,LH,RH,M
2015-02-03,Dudi Sela,Jurgen Zopp,,,RH,RH,M
2015-02-03,Benoit Paire,Nikoloz Basilashvili,,,RH,RH,M
2015-02-04,Steve Darcis,Tatsuma Ito,,,RH,RH,M
2015-02-04,Denis Istomin,Malek Jaziri,,,RH,RH,M
2015-02-04,Joao Sousa,Tobias Kamke,,,RH,RH,M
2015-02-04,Richard Gasquet,Lucas Pouille,,,RH,RH,M
2015-02-04,Jerzy Janowicz,Benoit Paire,,,RH,RH,M
2015-02-05,Steve Darcis,Jarkko Nieminen,,,RH,LH,M
2015-02-05,Gael Monfils,Kenny De Schepper,,,RH,LH,M
2015-02-05,Denis Istomin,Dudi Sela,,,RH,RH,M
2015-02-06,Jerzy Janowicz,Gilles Simon,,,RH,RH,M
2015-02-06,Joao Sousa,Philipp Kohlschreiber,,,RH,RH,M
2015-02-06,Richard Gasquet,Denis Istomin,,,RH,RH,M
2015-02-06,Gael Monfils,Steve Darcis,,,RH,RH,M
2015-02-07,Jerzy Janowicz,Joao Sousa,,,RH,RH,M
2015-02-07,Richard Gasquet,Gael Monfils,,,RH,RH,M
2015-02-08,Richard Gasquet,Jerzy Janowicz,,,RH,RH,M
2015-02-02,Horacio Zeballos,Austin Krajicek,,,LH,LH,M
2015-02-03,Alejandro Falla,Joao Souza,,,LH,RH,M
2015-02-03,Dusan Lajovic,Luca Vanni,,,RH,RH,M
2015-02-03,Renzo Olivo,Evgeny Donskoy,,,RH,RH,M
2015-02-03,Alejandro Gonzalez,Facundo Bagnis,,,RH,LH,M
2015-02-04,Albert Montanes,Santiago Giraldo,,,RH,RH,M
2015-02-04,Thomaz Bellucci,Horacio Zeballos,,,LH,LH,M
2015-02-05,Feliciano Lopez,Alejandro Gonzalez,,,LH,RH,M
2015-02-05,Paolo Lorenzi,Alejandro Falla,,,RH,LH,M
2015-02-06,Fernando Verdasco,Gerald Melzer,,,LH,LH,M
2015-02-06,Thomaz Bellucci,Albert Montanes,,,LH,RH,M
2015-02-06,Feliciano Lopez,Dusan Lajovic,,,LH,RH,M
2015-02-07,Fernando Verdasco,Paolo Lorenzi,,,LH,RH,M
2015-02-07,Feliciano Lopez,Fernando Verdasco,,,LH,LH,M
2015-02-02,Ricardas Berankis,Lukas Lacko,,,RH,RH,M
2015-02-02,Sergiy Stakhovsky,Borna Coric,,,RH,RH,M
2015-02-03,Go Soeda,Matthias Bachinger,,,RH,RH,M
2015-02-03,Viktor Troicki,Illya Marchenko,,,RH,RH,M
2015-02-03,Damir Dzumhur,Michael Berrer,,,RH,LH,M
2015-02-03,Mikhail Youzhny,Blaz Kavcic,,,RH,RH,M
2015-02-03,Andreas Seppi,Robin Haase,,,RH,RH,M
2015-02-04,Marcel Granollers,Jurgen Melzer,,,RH,LH,M
2015-02-04,Ivan Dodig,Mate Delic,,,RH,RH,M
2015-02-04,Mikhail Youzhny,Sergiy Stakhovsky,,,RH,RH,M
2015-02-04,Marcos Baghdatis,Ivo Karlovic,,,RH,RH,M
2015-02-05,Andreas Seppi,James Ward,,,RH,RH,M
2015-02-05,Viktor Troicki,Go Soeda,,,RH,RH,M
2015-02-05,Ricardas Berankis,Gilles Muller,,,RH,LH,M
2015-02-05,Marcel Granollers,Ivan Dodig,,,RH,RH,M
2015-02-06,Andreas Seppi,Ricardas Berankis,,,RH,RH,M
2015-02-06,Marcos Baghdatis,Mikhail Youzhny,,,RH,RH,M
2015-02-07,Andreas Seppi,Marcel Granollers,,,RH,RH,M
2015-02-09,Ivan Dodig,Teymuraz Gabashvili,,,RH,RH,M
2015-02-09,Donald Young,Adrian Mannarino,,,LH,LH,M
2015-02-09,Dustin Brown,Marinko Matosevic,,,RH,RH,M
2015-02-10,Jared Donaldson,Stefan Kozlov,,,RH,RH,M
2015-02-10,Ivo Karlovic,Lukas Lacko,,,RH,RH,M
2015-02-10,Ryan Harrison,Malek Jaziri,,,RH,RH,M
2015-02-10,Austin Krajicek,Mikhail Kukushkin,,,LH,RH,M
2015-02-10,Denis Kudla,Thanasi Kokkinakis,,,RH,RH,M
2015-02-11,Sam Querrey,Benjamin Becker,,,RH,RH,M
2015-02-11,Steve Johnson,Filip Krajinovic,,,RH,RH,M
2015-02-11,Austin Krajicek,Ivo Karlovic,,,LH,RH,M
2015-02-11,Sam Querrey,Jared Donaldson,,,RH,RH,M
2015-02-11,Kei Nishikori,Ryan Harrison,,,RH,RH,M
2015-02-12,John Isner,Ivan Dodig,,,RH,RH,M
2015-02-12,Donald Young,Denis Kudla,,,LH,RH,M
2015-02-12,Steve Johnson,Dustin Brown,,,RH,RH,M
2015-02-13,Kevin Anderson,Samuel Groth,,,RH,RH,M
2015-02-13,Donald Young,Bernard Tomic,,,LH,RH,M
2015-02-13,Kevin Anderson,Steve Johnson,,,RH,RH,M
2015-02-14,Kei Nishikori,Austin Krajicek,,,RH,LH,M
2015-02-14,Sam Querrey,John Isner,,,RH,RH,M
