date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2023-01-01,Marcos Giron,Richard Gasquet,,,RH,RH,M
2023-01-03,Roberto Bautista Agut,Andrey Rublev,,,RH,RH,M
2023-01-02,Marco Cecchinato,Nikoloz Basilashvili,,,RH,RH,M
2023-01-04,Marin Cilic,Roberto Carballes Baena,,,RH,RH,M
2023-01-11,Roberto Bautista Agut,Robin Haase,,,RH,RH,M
2023-01-11,Thanasi Kokkinakis,Andrey Rublev,,,RH,RH,M
2023-01-13,Roberto Bautista Agut,Thanasi Kokkinakis,,,RH,RH,M
2023-01-11,Richard Gasquet,Joao Sousa,,,RH,RH,M
2023-01-12,Richard Gasquet,David Goffin,,,RH,RH,M
2023-01-17,Andrey Rublev,Dominic Thiem,,,RH,RH,M
2023-01-17,Novak Djokovic,Roberto Carballes Baena,,,RH,RH,M
2023-01-18,Adrian Mannarino,John Isner,,,LH,RH,M
2023-01-18,Roberto Bautista Agut,Joao Sousa,,,RH,RH,M
2023-01-18,Thanasi Kokkinakis,Fabio Fognini,,,RH,RH,M
2023-01-19,Andy Murray,Thanasi Kokkinakis,,,RH,RH,M
2023-01-21,Roberto Bautista Agut,Andy Murray,,,RH,RH,M
2023-01-21,Novak Djokovic,Grigor Dimitrov,,,RH,RH,M
2023-01-25,Novak Djokovic,Andrey Rublev,,,RH,RH,M
2023-02-08,Marco Cecchinato,Facundo Bagnis,,,RH,LH,M
2023-02-09,Joao Sousa,Cristian Garin,,,RH,RH,M
2023-02-07,Adrian Mannarino,Steve Johnson,,,LH,RH,M
2023-02-14,Radu Albot,Fernando Verdasco,,,RH,LH,M
2023-02-13,Richard Gasquet,Pablo Carreno Busta,,,RH,RH,M
2023-02-15,Stan Wawrinka,Richard Gasquet,,,RH,RH,M
2023-02-21,Roberto Bautista Agut,Marton Fucsovics,,,RH,RH,M
2023-02-22,Andy Murray,Alexander Zverev,,,RH,RH,M
2023-02-22,Stan Wawrinka,Richard Gasquet,,,RH,RH,M
2023-02-22,Dusan Lajovic,Diego Schwartzman,,,RH,RH,M
2023-02-28,Francis Tiafoe,Yoshihito Nishioka,,,RH,LH,M
2023-03-01,Elias Ymer,Adrian Mannarino,,,RH,LH,M
2023-03-02,Francis Tiafoe,Feliciano Lopez,,,RH,LH,M
2023-02-27,Andrey Rublev,Filip Krajinovic,,,RH,RH,M
2023-03-01,Borna Coric,Thanasi Kokkinakis,,,RH,RH,M
2023-03-03,Andrey Rublev,Alexander Zverev,,,RH,RH,M
2023-02-28,Marco Cecchinato,Facundo Bagnis,,,RH,LH,M
2023-02-28,Cristian Garin,Dominic Thiem,,,RH,RH,M
2023-03-08,Taro Daniel,Roberto Carballes Baena,,,RH,RH,M
2023-03-10,Adrian Mannarino,Dominic Thiem,,,LH,RH,M
2023-03-10,Cristian Garin,Yoshihito Nishioka,,,RH,LH,M
2023-03-10,Jason Kubler,Grigor Dimitrov,,,RH,RH,M
2023-03-11,Francis Tiafoe,Marcos Giron,,,RH,RH,M
2023-03-11,Andy Murray,Radu Albot,,,RH,RH,M
2023-03-12,Francis Tiafoe,Jason Kubler,,,RH,RH,M
2023-03-22,Dusan Lajovic,Andy Murray,,,RH,RH,M
2023-03-23,Cristian Garin,Marcos Giron,,,RH,RH,M
2023-03-25,Taro Daniel,Alexander Zverev,,,RH,RH,M
2023-04-03,Marco Cecchinato,Diego Schwartzman,,,RH,RH,M
2023-04-05,Marco Cecchinato,Fabio Fognini,,,RH,RH,M
2023-04-04,Jason Kubler,Fernando Verdasco,,,RH,LH,M
2023-04-04,Steve Johnson,Facundo Bagnis,,,RH,LH,M
2023-04-08,Francis Tiafoe,Steve Johnson,,,RH,RH,M
2023-04-08,Francis Tiafoe,Jason Kubler,,,RH,RH,M
2023-04-10,Diego Schwartzman,David Goffin,,,RH,RH,M
2023-04-10,Roberto Bautista Agut,Filip Krajinovic,,,RH,RH,M
2023-04-10,Dominic Thiem,Richard Gasquet,,,RH,RH,M
2023-04-12,Alexander Zverev,Roberto Bautista Agut,,,RH,RH,M
2023-04-18,David Goffin,Feliciano Lopez,,,RH,LH,M
2023-04-19,Yoshihito Nishioka,David Goffin,,,LH,RH,M
2023-04-18,Dusan Lajovic,Filip Krajinovic,,,RH,RH,M
2023-04-20,Damir Dzumhur,Richard Gasquet,,,RH,RH,M
2023-04-21,Andrey Rublev,Damir Dzumhur,,,RH,RH,M
2023-04-21,Dusan Lajovic,Novak Djokovic,,,RH,RH,M
2023-04-23,Dusan Lajovic,Andrey Rublev,,,RH,RH,M
2023-04-17,Marcos Giron,Roberto Carballes Baena,,,RH,RH,M
2023-04-26,Roberto Carballes Baena,David Goffin,,,RH,RH,M
2023-04-27,Dominic Thiem,Kyle Edmund,,,RH,RH,M
2023-04-27,Marco Cecchinato,Marton Fucsovics,,,RH,RH,M
2023-04-27,Dusan Lajovic,Jason Kubler,,,RH,RH,M
2023-04-28,Andrey Rublev,Stan Wawrinka,,,RH,RH,M
2023-04-28,Alexander Zverev,Roberto Carballes Baena,,,RH,RH,M
2023-04-30,Andrey Rublev,Yoshihito Nishioka,,,RH,LH,M
2023-05-10,Marton Fucsovics,Filip Krajinovic,,,RH,RH,M
2023-05-10,Fabio Fognini,Andy Murray,,,RH,RH,M
2023-05-12,Grigor Dimitrov,Stan Wawrinka,,,RH,RH,M
2023-05-14,Marco Cecchinato,Roberto Bautista Agut,,,RH,RH,M
2023-05-14,Alexander Zverev,David Goffin,,,RH,RH,M
2023-05-14,Novak Djokovic,Grigor Dimitrov,,,RH,RH,M
2023-05-15,Borna Coric,Roberto Carballes Baena,,,RH,RH,M
2023-01-04,Marketa Vondrousova,Kaia Kanepi,,,LH,RH,F
2023-01-05,Ons Jabeur,Sorana Cirstea,,,RH,RH,F
2023-01-02,Lin Zhu,Madison Brengle,,,RH,RH,F
2023-01-04,Lin Zhu,Venus Williams,,,RH,RH,F
2023-01-05,Danka Kovinic,Lauren Davis,,,RH,RH,F
2023-01-09,Belinda Bencic,Garbine Muguruza,,,RH,RH,F
2023-01-10,Paula Badosa,Anett Kontaveit,,,RH,RH,F
2023-01-11,Paula Badosa,Kaia Kanepi,,,RH,RH,F
2023-01-11,Caroline Garcia,Katerina Siniakova,,,RH,RH,F
2023-01-12,Daria Kasatkina,Petra Kvitova,,,RH,LH,F
2023-01-12,Belinda Bencic,Caroline Garcia,,,RH,RH,F
2023-01-13,Daria Kasatkina,Paula Badosa,,,RH,RH,F
