date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
06-01-20,Fernando Verdasco,Pablo Andujar,,,LH,RH,M
06-01-20,Filip Krajinovic,Kyle Edmund,,,RH,RH,M
07-01-20,Marton Fucsovics,Francis Tiafoe,,,RH,RH,M
07-01-20,Mikhail Kukushkin,Malek Jaziri,,,RH,RH,M
07-01-20,Stan Wawrinka,Jeremy Chardy,,,RH,RH,M
08-01-20,Andrey Rublev,Mikhail Kukushkin,,,RH,RH,M
08-01-20,Fernando Verdasco,Filip Krajinovic,,,LH,RH,M
10-01-20,Stan Wawrinka,Aljaz Bedene,,,RH,RH,M
13-01-20,Jeremy Chardy,Gilles Simon,,,RH,RH,M
14-01-20,Alex Bolt,Stephane Robert,,,LH,RH,M
15-01-20,Andrey Rublev,Sam Querrey,,,RH,RH,M
15-01-20,Pablo Carreno Busta,Jeremy Chardy,,,RH,RH,M
14-01-20,Vasek Pospisil,Joao Sousa,,,RH,RH,M
15-01-20,Andreas Seppi,Adrian Mannarino,,,RH,LH,M
15-01-20,Feliciano Lopez,Pablo Andujar,,,LH,RH,M
15-01-20,Marco Cecchinato,Leonardo Mayer,,,RH,RH,M
15-01-20,John Isner,Tennys Sandgren,,,RH,RH,M
15-01-20,Feliciano Lopez,Fabio Fognini,,,LH,RH,M
15-01-20,Kyle Edmund,Andreas Seppi,,,RH,RH,M
16-01-20,John Isner,Kyle Edmund,,,RH,RH,M
16-01-20,Benoit Paire,John Millman,,,RH,RH,M
20-01-20,Ricardas Berankis,Roberto Carballes Baena,,,RH,RH,M
20-01-20,Sam Querrey,Borna Coric,,,RH,RH,M
20-01-20,Roger Federer,Steve Johnson,,,RH,RH,M
20-01-20,Philipp Kohlschreiber,Marcos Giron,,,RH,RH,M
21-01-20,Roberto Bautista Agut,Feliciano Lopez,,,RH,LH,M
21-01-20,Dusan Lajovic,Kyle Edmund,,,RH,RH,M
21-01-20,Dominic Thiem,Adrian Mannarino,,,RH,LH,M
21-01-20,Stan Wawrinka,Damir Dzumhur,,,RH,RH,M
21-01-20,Fernando Verdasco,Evgeny Donskoy,,,LH,RH,M
21-01-20,David Goffin,Jeremy Chardy,,,RH,RH,M
21-01-20,Federico Delbonis,Joao Sousa,,,LH,RH,M
21-01-20,Alexander Zverev,Marco Cecchinato,,,RH,RH,M
21-01-20,Ivo Karlovic,Vasek Pospisil,,,RH,RH,M
21-01-20,Gilles Simon,Pablo Cuevas,,,RH,RH,M
22-01-20,Sam Querrey,Ricardas Berankis,,,RH,RH,M
22-01-20,Marin Cilic,Benoit Paire,,,RH,RH,M
22-01-20,Novak Djokovic,Tatsuma Ito,,,RH,RH,M
22-01-20,Milos Raonic,Cristian Garin,,,RH,RH,M
22-01-20,Roger Federer,Filip Krajinovic,,,RH,RH,M
23-01-20,Ernests Gulbis,Aljaz Bedene,,,RH,RH,M
