date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2016-01-04,Grigor Dimitrov,Gilles Simon,,,RH,RH,M
2016-01-04,Hyeon Chung,Samuel Groth,,,RH,RH,M
2016-01-05,David Goffin,Thomaz Bellucci,,,RH,LH,M
2016-01-05,Viktor Troicki,Steve Johnson,,,RH,RH,M
2016-01-05,Radek Stepanek,Dusan Lajovic,,,RH,RH,M
2016-01-05,Lucas Pouille,Yoshihito Nishioka,,,RH,LH,M
2016-01-05,Mikhail Kukushkin,Denis Istomin,,,RH,RH,M
2016-01-05,Bernard Tomic,Nicolas Mahut,,,RH,RH,M
2016-01-06,Dominic Thiem,Denis Kudla,,,RH,RH,M
2016-01-06,Kei Nishikori,Mikhail Kukushkin,,,RH,RH,M
2016-01-06,Marin Cilic,Hyeon Chung,,,RH,RH,M
2016-01-06,Bernard Tomic,Radek Stepanek,,,RH,RH,M
2016-01-07,Lucas Pouille,David Goffin,,,RH,RH,M
2016-01-07,Milos Raonic,Ivan Dodig,,,RH,RH,M
2016-01-07,Grigor Dimitrov,Viktor Troicki,,,RH,RH,M
2016-01-07,Roger Federer,Tobias Kamke,,,RH,RH,M
2016-01-08,Milos Raonic,Lucas Pouille,,,RH,RH,M
2016-01-08,Bernard Tomic,Kei Nishikori,,,RH,RH,M
2016-01-08,Dominic Thiem,Marin Cilic,,,RH,RH,M
2016-01-08,Roger Federer,Grigor Dimitrov,,,RH,RH,M
2016-01-09,Milos Raonic,Bernard Tomic,,,RH,RH,M
2016-01-09,Roger Federer,Dominic Thiem,,,RH,RH,M
2016-01-10,Milos Raonic,Roger Federer,,,RH,RH,M
2016-01-04,John Millman,Evgeny Donskoy,,,RH,RH,M
2016-01-04,Borna Coric,Marcel Granollers,,,RH,RH,M
2016-01-05,Andrey Rublev,Somdev Devvarman,,,RH,RH,M
2016-01-05,Austin Krajicek,Rajeev Ram,,,LH,RH,M
2016-01-05,Lukas Rosol,Santiago Giraldo,,,RH,RH,M
2016-01-05,Aljaz Bedene,Vasek Pospisil,,,RH,RH,M
2016-01-06,Borna Coric,Austin Krajicek,,,RH,LH,M
2016-01-06,Stan Wawrinka,Andrey Rublev,,,RH,RH,M
2016-01-07,Thomas Fabbiano,Gilles Muller,,,RH,LH,M
2016-01-07,Benoit Paire,Lukas Rosol,,,RH,RH,M
2016-01-07,Aljaz Bedene,Luca Vanni,,,RH,RH,M
2016-01-08,Benoit Paire,Thomas Fabbiano,,,RH,RH,M
2016-01-09,Stan Wawrinka,Benoit Paire,,,RH,RH,M
2016-01-09,Borna Coric,Aljaz Bedene,,,RH,RH,M
2016-01-10,Stan Wawrinka,Borna Coric,,,RH,RH,M
2016-01-04,Damir Dzumhur,Marco Cecchinato,,,RH,RH,M
2016-01-04,Kyle Edmund,Martin Klizan,,,RH,LH,M
2016-01-04,Novak Djokovic,Dustin Brown,,,RH,RH,M
2016-01-05,Pablo Andujar,Paolo Lorenzi,,,RH,RH,M
2016-01-05,Tomas Berdych,Sergiy Stakhovsky,,,RH,RH,M
2016-01-05,Teymuraz Gabashvili,Simone Bolelli,,,RH,RH,M
2016-01-05,Illya Marchenko,David Ferrer,,,RH,RH,M
2016-01-05,Leonardo Mayer,Benjamin Becker,,,RH,RH,M
2016-01-05,Ricardas Berankis,Andreas Seppi,,,RH,RH,M
2016-01-05,Fernando Verdasco,Malek Jaziri,,,LH,RH,M
2016-01-06,Leonardo Mayer,Pablo Andujar,,,RH,RH,M
2016-01-06,Illya Marchenko,Teymuraz Gabashvili,,,RH,RH,M
2016-01-06,Novak Djokovic,Fernando Verdasco,,,RH,LH,M
2016-01-06,Rafael Nadal,Robin Haase,,,LH,RH,M
2016-01-06,Tomas Berdych,Damir Dzumhur,,,RH,RH,M
2016-01-07,Illya Marchenko,Jeremy Chardy,,,RH,RH,M
2016-01-07,Novak Djokovic,Leonardo Mayer,,,RH,RH,M
2016-01-07,Tomas Berdych,Kyle Edmund,,,RH,RH,M
2016-01-08,Rafael Nadal,Illya Marchenko,,,LH,RH,M
2016-01-08,Novak Djokovic,Tomas Berdych,,,RH,RH,M
2016-01-09,Novak Djokovic,Rafael Nadal,,,RH,LH,M
2016-01-10,Robin Haase,Pablo Andujar,,,RH,RH,M
2016-01-11,Vasek Pospisil,Ivo Karlovic,,,RH,RH,M
2016-01-12,Philipp Kohlschreiber,Benjamin Becker,,,RH,RH,M
2016-01-12,Sam Querrey,Aljaz Bedene,,,RH,RH,M
2016-01-12,Fabio Fognini,Joao Sousa,,,RH,RH,M
2016-01-12,Kevin Anderson,Robin Haase,,,RH,RH,M
2016-01-13,Lukas Rosol,Benoit Paire,,,RH,RH,M
2016-01-13,Jack Sock,Vasek Pospisil,,,RH,RH,M
2016-01-13,Fabio Fognini,Thiemo De Bakker,,,RH,RH,M
2016-01-13,John Isner,Sam Querrey,,,RH,RH,M
2016-01-13,Jack Sock,Kevin Anderson,,,RH,RH,M
2016-01-14,David Ferrer,Lukas Rosol,,,RH,RH,M
2016-01-15,Jack Sock,David Ferrer,,,RH,RH,M
2016-01-11,Andreas Seppi,Denis Istomin,,,RH,RH,M
2016-01-11,Tommy Robredo,John Millman,,,RH,RH,M
2016-01-12,Teymuraz Gabashvili,Leonardo Mayer,,,RH,RH,M
2016-01-12,Nicolas Mahut,Adrian Mannarino,,,RH,LH,M
2016-01-12,Jeremy Chardy,Mikhail Kukushkin,,,RH,RH,M
2016-01-12,Gilles Muller,Borna Coric,,,LH,RH,M
2016-01-12,Federico Delbonis,Samuel Groth,,,LH,RH,M
2016-01-13,Grigor Dimitrov,Pablo Cuevas,,,RH,RH,M
2016-01-13,Gilles Muller,Dominic Thiem,,,LH,RH,M
2016-01-13,Nicolas Mahut,Andreas Seppi,,,RH,RH,M
2016-01-13,Teymuraz Gabashvili,Federico Delbonis,,,RH,LH,M
2016-01-13,Viktor Troicki,Tommy Robredo,,,RH,RH,M
2016-01-15,Gilles Muller,Jeremy Chardy,,,LH,RH,M
2016-01-15,Viktor Troicki,Nicolas Mahut,,,RH,RH,M
2016-01-15,Teymuraz Gabashvili,Bernard Tomic,,,RH,RH,M
2016-01-15,Grigor Dimitrov,Gilles Muller,,,RH,LH,M
2016-01-15,Viktor Troicki,Teymuraz Gabashvili,,,RH,RH,M
2016-01-16,Viktor Troicki,Grigor Dimitrov,,,RH,RH,M
2016-01-18,David Goffin,Sergiy Stakhovsky,,,RH,RH,M
2016-01-18,Damir Dzumhur,Kyle Edmund,,,RH,RH,M
2016-01-18,Kei Nishikori,Philipp Kohlschreiber,,,RH,RH,M
2016-01-18,Dominic Thiem,Leonardo Mayer,,,RH,RH,M
2016-01-18,Federico Delbonis,Ivo Karlovic,,,LH,RH,M
2016-01-18,Marin Cilic,Thiemo De Bakker,,,RH,RH,M
2016-01-18,Nicolas Almagro,Julien Benneteau,,,RH,RH,M
2016-01-18,Gilles Simon,Vasek Pospisil,,,RH,RH,M
2016-01-18,Renzo Olivo,Jiri Vesely,,,RH,LH,M
2016-01-18,Novak Djokovic,Hyeon Chung,,,RH,RH,M
2016-01-18,Denis Kudla,Filip Krajinovic,,,RH,RH,M
2016-01-18,Dusan Lajovic,Sam Querrey,,,RH,RH,M
2016-01-18,Pablo Cuevas,Yoshihito Nishioka,,,RH,LH,M
2016-01-18,Grigor Dimitrov,Paolo Lorenzi,,,RH,RH,M
2016-01-18,Andreas Seppi,Teymuraz Gabashvili,,,RH,RH,M
2016-01-18,Roger Federer,Nikoloz Basilashvili,,,RH,RH,M
2016-01-19,Samuel Groth,Adrian Mannarino,,,RH,LH,M
2016-01-19,John Millman,Diego Schwartzman,,,RH,RH,M
2016-01-19,Milos Raonic,Lucas Pouille,,,RH,RH,M
2016-01-19,Stephane Robert,Bjorn Fratangelo,,,RH,RH,M
2016-01-19,Jeremy Chardy,Ernests Gulbis,,,RH,RH,M
2016-01-19,Gilles Muller,Fabio Fognini,,,LH,RH,M
2016-01-19,Joao Sousa,Mikhail Kukushkin,,,RH,RH,M
2016-01-19,Rajeev Ram,Kevin Anderson,,,RH,RH,M
2016-01-19,Marcel Granollers,Matthew Ebden,,,RH,RH,M
2016-01-19,Andy Murray,Alexander Zverev,,,RH,RH,M
2016-01-19,Guido Pella,Steve Darcis,,,LH,RH,M
2016-01-19,Tommy Robredo,Malek Jaziri,,,RH,RH,M
2016-01-19,Santiago Giraldo,Donald Young,,,RH,LH,M
2016-01-19,Fernando Verdasco,Rafael Nadal,,,LH,LH,M
2016-01-19,John Isner,Jerzy Janowicz,,,RH,RH,M
2016-01-19,Dudi Sela,Benjamin Becker,,,RH,RH,M
2016-01-19,Steve Johnson,Aljaz Bedene,,,RH,RH,M
2016-01-19,Gael Monfils,Yuichi Sugita,,,RH,RH,M
2016-01-19,Nicolas Mahut,Marco Cecchinato,,,RH,RH,M
2016-01-19,Bernard Tomic,Denis Istomin,,,RH,RH,M
2016-01-19,David Ferrer,Peter Gojowczyk,,,RH,RH,M
2016-01-19,Radek Stepanek,Tatsuma Ito,,,RH,RH,M
2016-01-19,Lukas Rosol,Taro Daniel,,,RH,RH,M
2016-01-19,Stan Wawrinka,Dmitry Tursunov,,,RH,RH,M
2016-01-20,Kei Nishikori,Austin Krajicek,,,RH,LH,M
