date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2012-12-31,Florian Mayer,Santiago Giraldo,,,RH,RH,M
2012-12-31,Jarkko Nieminen,Julien Benneteau,,,LH,RH,M
2012-12-31,Kei Nishikori,Marinko Matosevic,,,RH,RH,M
2013-01-01,Denis Istomin,Martin Klizan,,,RH,LH,M
2013-01-01,John Millman,Tatsuma Ito,,,RH,RH,M
2013-01-01,Jurgen Melzer,Denis Kudla,,,LH,RH,M
2013-01-01,Tommy Robredo,Ryan Harrison,,,RH,RH,M
2013-01-01,David Goffin,Matthew Ebden,,,RH,RH,M
2013-01-02,Gilles Simon,Alejandro Falla,,,RH,LH,M
2013-01-02,Marcos Baghdatis,Florian Mayer,,,RH,RH,M
2013-01-02,Kei Nishikori,Tommy Robredo,,,RH,RH,M
2013-01-03,Grigor Dimitrov,Milos Raonic,,,RH,RH,M
2013-01-03,Jurgen Melzer,David Goffin,,,LH,RH,M
2013-01-03,Denis Istomin,Lleyton Hewitt,,,RH,RH,M
2013-01-03,Andy Murray,John Millman,,,RH,RH,M
2013-01-04,Marcos Baghdatis,Gilles Simon,,,RH,RH,M
2013-01-04,Grigor Dimitrov,Jurgen Melzer,,,RH,LH,M
2013-01-04,Andy Murray,Denis Istomin,,,RH,RH,M
2013-01-05,Grigor Dimitrov,Marcos Baghdatis,,,RH,RH,M
2013-01-05,Andy Murray,Kei Nishikori,,,RH,RH,M
2013-01-06,Andy Murray,Grigor Dimitrov,,,RH,RH,M
2012-12-31,Go Soeda,Evgeny Donskoy,,,RH,RH,M
2012-12-31,Aljaz Bedene,Joao Sousa,,,RH,RH,M
2013-01-01,Dudi Sela,Rajeev Ram,,,RH,RH,M
2013-01-01,Sergiy Stakhovsky,Ruben Bemelmans,,,RH,LH,M
2013-01-02,Aljaz Bedene,Robin Haase,,,RH,RH,M
2013-01-03,Benoit Paire,Dudi Sela,,,RH,RH,M
2013-01-03,Marin Cilic,Sergiy Stakhovsky,,,RH,RH,M
2013-01-03,Tomas Berdych,Somdev Devvarman,,,RH,RH,M
2013-01-04,Benoit Paire,Marin Cilic,,,RH,RH,M
2013-01-04,Aljaz Bedene,Stan Wawrinka,,,RH,RH,M
2013-01-04,Janko Tipsarevic,Go Soeda,,,RH,RH,M
2013-01-05,Janko Tipsarevic,Aljaz Bedene,,,RH,RH,M
2012-12-31,Paolo Lorenzi,Albert Ramos,,,RH,LH,M
2012-12-31,Philipp Kohlschreiber,Ivan Dodig,,,RH,RH,M
2013-01-01,Lukas Rosol,Pablo Andujar,,,RH,RH,M
2013-01-01,Mikhail Youzhny,Benjamin Becker,,,RH,RH,M
2013-01-01,Richard Gasquet,Jan Hernych,,,RH,RH,M
2013-01-01,David Ferrer,Dustin Brown,,,RH,RH,M
2013-01-01,Lukasz Kubot,Feliciano Lopez,,,RH,LH,M
2013-01-02,Paolo Lorenzi,Lukas Rosol,,,RH,RH,M
2013-01-02,Nikolay Davydenko,Mikhail Youzhny,,,RH,RH,M
2013-01-02,Simone Bolelli,Lukasz Kubot,,,RH,RH,M
2013-01-02,Gael Monfils,Philipp Kohlschreiber,,,RH,RH,M
2013-01-02,Lukas Lacko,Viktor Troicki,,,RH,RH,M
2013-01-02,David Ferrer,Tobias Kamke,,,RH,RH,M
2013-01-03,Richard Gasquet,Lukas Lacko,,,RH,RH,M
2013-01-03,David Ferrer,Paolo Lorenzi,,,RH,RH,M
2013-01-03,Nikolay Davydenko,Simone Bolelli,,,RH,RH,M
2013-01-04,Nikolay Davydenko,David Ferrer,,,RH,RH,M
2013-01-05,Richard Gasquet,Nikolay Davydenko,,,RH,RH,M
2013-01-07,Thomaz Bellucci,David Goffin,,,LH,RH,M
2013-01-07,Lukas Lacko,Paolo Lorenzi,,,RH,RH,M
2013-01-07,Santiago Giraldo,Go Soeda,,,RH,RH,M
2013-01-08,Gael Monfils,Benjamin Becker,,,RH,RH,M
2013-01-09,Philipp Kohlschreiber,Alejandro Falla,,,RH,LH,M
2013-01-09,Lukas Lacko,Thomaz Bellucci,,,RH,LH,M
2013-01-10,David Ferrer,Lukas Lacko,,,RH,RH,M
2013-01-10,Gael Monfils,Tommy Haas,,,RH,RH,M
2013-01-11,Philipp Kohlschreiber,Sam Querrey,,,RH,RH,M
2013-01-11,David Ferrer,Gael Monfils,,,RH,RH,M
2013-01-12,David Ferrer,Philipp Kohlschreiber,,,RH,RH,M
2013-01-07,Marcel Granollers,Matthew Ebden,,,RH,RH,M
2013-01-07,Florian Mayer,Joao Sousa,,,RH,RH,M
2013-01-07,Julien Benneteau,Pablo Andujar,,,RH,RH,M
2013-01-08,Feliciano Lopez,Jeremy Chardy,,,LH,RH,M
2013-01-08,John Millman,Tommy Robredo,,,RH,RH,M
2013-01-08,Kevin Anderson,Aljaz Bedene,,,RH,RH,M
2013-01-08,Fabio Fognini,Grigor Dimitrov,,,RH,RH,M
2013-01-08,Bernard Tomic,Marinko Matosevic,,,RH,RH,M
2013-01-09,Julien Benneteau,Radek Stepanek,,,RH,RH,M
2013-01-09,Denis Istomin,Fernando Verdasco,,,RH,LH,M
2013-01-09,Marcel Granollers,Fabio Fognini,,,RH,RH,M
2013-01-09,Kevin Anderson,Feliciano Lopez,,,RH,LH,M
2013-01-09,Ryan Harrison,John Isner,,,RH,RH,M
2013-01-09,Andreas Seppi,John Millman,,,RH,RH,M
2013-01-09,Bernard Tomic,Florian Mayer,,,RH,RH,M
2013-01-10,Kevin Anderson,Denis Istomin,,,RH,RH,M
2013-01-10,Julien Benneteau,Ryan Harrison,,,RH,RH,M
2013-01-10,Bernard Tomic,Jarkko Nieminen,,,RH,LH,M
2013-01-10,Andreas Seppi,Marcel Granollers,,,RH,RH,M
2013-01-11,Kevin Anderson,Julien Benneteau,,,RH,RH,M
2013-01-11,Bernard Tomic,Andreas Seppi,,,RH,RH,M
2013-01-12,Bernard Tomic,Kevin Anderson,,,RH,RH,M
2013-01-14,Nicolas Almagro,Steve Johnson,,,RH,RH,M
2013-01-14,Julien Benneteau,Grigor Dimitrov,,,RH,RH,M
2013-01-14,Fernando Verdasco,David Goffin,,,LH,RH,M
2013-01-14,Ryan Harrison,Santiago Giraldo,,,RH,RH,M
