date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
08-01-21,Jeremy Chardy,Radu Albot,,,RH,RH,M
10-01-21,Jeremy Chardy,Fabio Fognini,,,RH,RH,M
08-01-21,Ivo Karlovic,Pablo Andujar,,,RH,RH,M
09-01-21,Francis Tiafoe,Donald Young,,,RH,LH,M
10-01-21,Francis Tiafoe,Bjorn Fratangelo,,,RH,RH,M
01-02-21,Kevin Anderson,Feliciano Lopez,,,RH,LH,M
02-02-21,Pablo Cuevas,Pablo Andujar,,,RH,RH,M
02-02-21,Matthew Ebden,Federico Delbonis,,,RH,LH,M
03-02-21,Pablo Cuevas,Robin Haase,,,RH,RH,M
01-02-21,Marton Fucsovics,Marco Cecchinato,,,RH,RH,M
01-02-21,Alex Bolt,Thanasi Kokkinakis,,,LH,RH,M
01-02-21,Jeremy Chardy,Marin Cilic,,,RH,RH,M
02-02-21,Gilles Simon,Elias Ymer,,,RH,RH,M
02-02-21,Ricardas Berankis,Jason Kubler,,,RH,RH,M
02-02-21,Marcos Giron,Adrian Mannarino,,,RH,LH,M
03-02-21,Stan Wawrinka,Mikhail Kukushkin,,,RH,RH,M
03-02-21,Jeremy Chardy,Gilles Simon,,,RH,RH,M
05-02-21,Borna Coric,Nick Kyrgios,,,RH,RH,M
05-02-21,Jiri Vesely,Ricardas Berankis,,,LH,RH,M
05-02-21,Stan Wawrinka,Alex Bolt,,,RH,LH,M
05-02-21,Jeremy Chardy,Stan Wawrinka,,,RH,RH,M
08-02-21,Alex Bolt,Norbert Gombos,,,LH,RH,M
08-02-21,Dominic Thiem,Mikhail Kukushkin,,,RH,RH,M
08-02-21,Alexander Zverev,Marcos Giron,,,RH,RH,M
08-02-21,Pablo Carreno Busta,Kei Nishikori,,,RH,RH,M
08-02-21,Grigor Dimitrov,Marin Cilic,,,RH,RH,M
08-02-21,Dusan Lajovic,Sergiy Stakhovsky,,,RH,RH,M
08-02-21,Diego Schwartzman,Elias Ymer,,,RH,RH,M
08-02-21,Bernard Tomic,Yuichi Sugita,,,RH,RH,M
08-02-21,Novak Djokovic,Jeremy Chardy,,,RH,RH,M
09-02-21,Borna Coric,Guido Pella,,,RH,LH,M
09-02-21,Radu Albot,Roberto Bautista Agut,,,RH,RH,M
09-02-21,Pablo Cuevas,Andreas Seppi,,,RH,RH,M
09-02-21,Filip Krajinovic,Robin Haase,,,RH,RH,M
10-02-21,Marton Fucsovics,Stan Wawrinka,,,RH,RH,M
10-02-21,Novak Djokovic,Francis Tiafoe,,,RH,RH,M
10-02-21,Pablo Carreno Busta,Jiri Vesely,,,RH,LH,M
10-02-21,Grigor Dimitrov,Alex Bolt,,,RH,LH,M
11-02-21,Filip Krajinovic,Pablo Andujar,,,RH,RH,M
12-02-21,Grigor Dimitrov,Pablo Carreno Busta,,,RH,RH,M
12-02-21,Alexander Zverev,Adrian Mannarino,,,RH,LH,M
12-02-21,Milos Raonic,Marton Fucsovics,,,RH,RH,M
12-02-21,Dominic Thiem,Nick Kyrgios,,,RH,RH,M
13-02-21,Andrey Rublev,Feliciano Lopez,,,RH,LH,M
14-02-21,Grigor Dimitrov,Dominic Thiem,,,RH,RH,M
14-02-21,Alexander Zverev,Dusan Lajovic,,,RH,RH,M
14-02-21,Novak Djokovic,Milos Raonic,,,RH,RH,M
15-02-21,Rafael Nadal,Fabio Fognini,,,LH,RH,M
16-02-21,Novak Djokovic,Alexander Zverev,,,RH,RH,M
23-02-21,Roberto Carballes Baena,Joao Sousa,,,RH,RH,M
24-02-21,Facundo Bagnis,Federico Delbonis,,,LH,LH,M
25-02-21,Diego Schwartzman,Marco Cecchinato,,,RH,RH,M
25-02-21,Peter Gojowczyk,Jiri Vesely,,,RH,LH,M
27-02-21,Roberto Bautista Agut,Peter Gojowczyk,,,RH,RH,M
28-02-21,David Goffin,Roberto Bautista Agut,,,RH,RH,M
24-02-21,Marin Cilic,Taro Daniel,,,RH,RH,M
25-02-21,Matthew Ebden,John Millman,,,RH,RH,M
26-02-21,Radu Albot,Adrian Mannarino,,,RH,LH,M
02-03-21,Francis Tiafoe,Facundo Bagnis,,,RH,LH,M
01-03-21,Andy Murray,Robin Haase,,,RH,RH,M
02-03-21,Andrey Rublev,Marcos Giron,,,RH,RH,M
03-03-21,Andrey Rublev,Andy Murray,,,RH,RH,M
04-03-21,Jeremy Chardy,David Goffin,,,RH,RH,M
04-03-21,Borna Coric,Dusan Lajovic,,,RH,RH,M
05-03-21,Andrey Rublev,Jeremy Chardy,,,RH,RH,M
05-03-21,Borna Coric,Kei Nishikori,,,RH,RH,M
06-03-21,Marton Fucsovics,Borna Coric,,,RH,RH,M
07-03-21,Andrey Rublev,Marton Fucsovics,,,RH,RH,M
08-03-21,Nikoloz Basilashvili,John Millman,,,RH,RH,M
08-03-21,Richard Gasquet,Blaz Rola,,,RH,LH,M
09-03-21,Malek Jaziri,Norbert Gombos,,,RH,RH,M
09-03-21,Marton Fucsovics,Dusan Lajovic,,,RH,RH,M
09-03-21,David Goffin,Filip Krajinovic,,,RH,RH,M
10-03-21,Andrey Rublev,Richard Gasquet,,,RH,RH,M
10-03-21,Nikoloz Basilashvili,Malek Jaziri,,,RH,RH,M
11-03-21,Andrey Rublev,Marton Fucsovics,,,RH,RH,M
11-03-21,Nikoloz Basilashvili,Roger Federer,,,RH,RH,M
11-03-21,Roberto Bautista Agut,Dominic Thiem,,,RH,RH,M
12-03-21,Roberto Bautista Agut,Andrey Rublev,,,RH,RH,M
13-03-21,Nikoloz Basilashvili,Roberto Bautista Agut,,,RH,RH,M
08-03-21,Facundo Bagnis,Marco Cecchinato,,,LH,RH,M
10-03-21,Facundo Bagnis,Francis Tiafoe,,,LH,RH,M
10-03-21,Federico Delbonis,Andrej Martin,,,LH,RH,M
13-03-21,Facundo Bagnis,Federico Delbonis,,,LH,LH,M
14-03-21,Cristian Garin,Facundo Bagnis,,,RH,LH,M
17-03-21,Grigor Dimitrov,Adrian Mannarino,,,RH,LH,M
15-03-21,Richard Gasquet,Marco Cecchinato,,,RH,RH,M
15-03-21,Marton Fucsovics,Vasek Pospisil,,,RH,RH,M
16-03-21,Dusan Lajovic,Malek Jaziri,,,RH,RH,M
16-03-21,Roberto Bautista Agut,Matthew Ebden,,,RH,RH,M
16-03-21,Marton Fucsovics,Pablo Carreno Busta,,,RH,RH,M
16-03-21,Kei Nishikori,David Goffin,,,RH,RH,M
17-03-21,Kei Nishikori,Aljaz Bedene,,,RH,RH,M
17-03-21,Marton Fucsovics,Dusan Lajovic,,,RH,RH,M
18-03-21,Andrey Rublev,Marton Fucsovics,,,RH,RH,M
25-03-21,Bjorn Fratangelo,Fernando Verdasco,,,RH,LH,M
25-03-21,Denis Kudla,Jeremy Chardy,,,RH,RH,M
25-03-21,Damir Dzumhur,Kevin Anderson,,,RH,RH,M
26-03-21,Aljaz Bedene,Thomas Fabbiano,,,RH,RH,M
27-03-21,Kei Nishikori,Aljaz Bedene,,,RH,RH,M
27-03-21,Marin Cilic,Cristian Garin,,,RH,RH,M
27-03-21,Marton Fucsovics,Thanasi Kokkinakis,,,RH,RH,M
27-03-21,Andrey Rublev,Tennys Sandgren,,,RH,RH,M
29-03-21,Francis Tiafoe,Dusan Lajovic,,,RH,RH,M
29-03-21,Andrey Rublev,Marton Fucsovics,,,RH,RH,M
29-03-21,Diego Schwartzman,Adrian Mannarino,,,RH,LH,M
30-03-21,Roberto Bautista Agut,John Isner,,,RH,RH,M
31-03-21,Andrey Rublev,Marin Cilic,,,RH,RH,M
06-04-21,Marco Cecchinato,Thomas Fabbiano,,,RH,RH,M
06-04-21,Andrej Martin,Jiri Vesely,,,RH,LH,M
05-04-21,Ricardas Berankis,Lucas Pouille,,,RH,RH,M
05-04-21,Federico Delbonis,Roberto Carballes Baena,,,LH,RH,M
06-04-21,Feliciano Lopez,Taro Daniel,,,LH,RH,M
07-04-21,Norbert Gombos,Federico Delbonis,,,RH,LH,M
11-04-21,David Goffin,Marin Cilic,,,RH,RH,M
13-04-21,Federico Delbonis,Adrian Mannarino,,,LH,LH,M
13-04-21,Lucas Pouille,Guido Pella,,,RH,LH,M
13-04-21,Filip Krajinovic,Nikoloz Basilashvili,,,RH,RH,M
14-04-21,Grigor Dimitrov,Jeremy Chardy,,,RH,RH,M
14-04-21,Cristian Garin,John Millman,,,RH,RH,M
14-04-21,David Goffin,Marco Cecchinato,,,RH,RH,M
14-04-21,Rafael Nadal,Federico Delbonis,,,LH,LH,M
15-04-21,David Goffin,Alexander Zverev,,,RH,RH,M
15-04-21,Fabio Fognini,Filip Krajinovic,,,RH,RH,M
15-04-21,Rafael Nadal,Grigor Dimitrov,,,LH,RH,M
15-04-21,Andrey Rublev,Roberto Bautista Agut,,,RH,RH,M
16-04-21,Andrey Rublev,Rafael Nadal,,,RH,LH,M
19-04-21,Jeremy Chardy,Nikoloz Basilashvili,,,RH,RH,M
19-04-21,Pablo Andujar,Gilles Simon,,,RH,RH,M
19-04-21,Kei Nishikori,Guido Pella,,,RH,LH,M
20-04-21,Roberto Bautista Agut,Pablo Andujar,,,RH,RH,M
21-04-21,Kei Nishikori,Cristian Garin,,,RH,RH,M
21-04-21,Diego Schwartzman,Francis Tiafoe,,,RH,RH,M
22-04-21,Rafael Nadal,Kei Nishikori,,,LH,RH,M
23-04-21,Pablo Carreno Busta,Diego Schwartzman,,,RH,RH,M
24-04-21,Rafael Nadal,Pablo Carreno Busta,,,LH,RH,M
19-04-21,Marco Cecchinato,Viktor Troicki,,,RH,RH,M
