date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2012-01-02,Denis Istomin,Florian Mayer,,,RH,RH,M
2012-01-02,Bernard Tomic,Julien Benneteau,,,RH,RH,M
2012-01-02,Marcos Baghdatis,Ryan Harrison,,,RH,RH,M
2012-01-03,Radek Stepanek,Matthew Ebden,,,RH,RH,M
2012-01-03,Santiago Giraldo,John Millman,,,RH,RH,M
2012-01-03,Tommy Haas,Marinko Matosevic,,,RH,RH,M
2012-01-03,Andy Murray,Mikhail Kukushkin,,,RH,RH,M
2012-01-04,Radek Stepanek,Jarkko Nieminen,,,RH,LH,M
2012-01-04,Denis Istomin,Tommy Haas,,,RH,RH,M
2012-01-04,Marcos Baghdatis,Kei Nishikori,,,RH,RH,M
2012-01-04,Bernard Tomic,Tatsuma Ito,,,RH,RH,M
2012-01-04,Andy Murray,Gilles Muller,,,RH,LH,M
2012-01-05,Gilles Simon,Santiago Giraldo,,,RH,RH,M
2012-01-06,Andy Murray,Marcos Baghdatis,,,RH,RH,M
2012-01-06,Bernard Tomic,Denis Istomin,,,RH,RH,M
2012-01-07,Andy Murray,Bernard Tomic,,,RH,RH,M
2012-01-02,Dudi Sela,Fabio Fognini,,,RH,RH,M
2012-01-02,Benoit Paire,Pere Riba,,,RH,RH,M
2012-01-03,Andreas Beck,Vasek Pospisil,,,LH,RH,M
2012-01-03,Steve Darcis,Blaz Kavcic,,,RH,RH,M
2012-01-04,Dudi Sela,Benoit Paire,,,RH,RH,M
2012-01-04,Go Soeda,Ivan Dodig,,,RH,RH,M
2012-01-05,Nicolas Almagro,Steve Darcis,,,RH,RH,M
2012-01-05,David Goffin,Andreas Beck,,,RH,LH,F
2012-01-06,Milos Raonic,Dudi Sela,,,RH,RH,M
2012-01-06,Go Soeda,Stan Wawrinka,,,RH,RH,M
2012-01-06,Nicolas Almagro,Yuichi Sugita,,,RH,RH,M
2012-01-06,Janko Tipsarevic,David Goffin,,,RH,RH,M
2012-01-07,Milos Raonic,Nicolas Almagro,,,RH,RH,M
2012-01-07,Janko Tipsarevic,Go Soeda,,,RH,RH,M
2012-01-08,Milos Raonic,Janko Tipsarevic,,,RH,RH,M
2012-01-02,Andreas Seppi,Lukasz Kubot,,,RH,RH,M
2012-01-02,Albert Ramos,Dmitry Tursunov,,,LH,RH,M
2012-01-02,Viktor Troicki,Lukas Rosol,,,RH,RH,M
2012-01-03,Ivo Karlovic,Sergiy Stakhovsky,,,RH,RH,M
2012-01-03,Mikhail Youzhny,Ernests Gulbis,,,RH,RH,M
2012-01-03,Rafael Nadal,Philipp Kohlschreiber,,,LH,RH,M
2012-01-03,Roger Federer,Nikolay Davydenko,,,RH,RH,M
2012-01-04,Viktor Troicki,Matthias Bachinger,,,RH,RH,M
2012-01-04,Mikhail Youzhny,Ivo Karlovic,,,RH,RH,M
2012-01-04,Gael Monfils,Benjamin Becker,,,RH,RH,M
