date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2017-01-02,Nicolas Mahut,Stephane Robert,,,RH,RH,M
2017-01-02,David Ferrer,Bernard Tomic,,,RH,RH,M
2017-01-02,Grigor Dimitrov,Steve Johnson,,,RH,RH,M
2017-01-03,Jared Donaldson,Gilles Muller,,,RH,LH,M
2017-01-03,Lucas Pouille,Gilles Simon,,,RH,RH,M
2017-01-03,Viktor Troicki,Yoshihito Nishioka,,,RH,LH,M
2017-01-03,Diego Schwartzman,Sam Querrey,,,RH,RH,M
2017-01-04,Kei Nishikori,Jared Donaldson,,,RH,RH,M
2017-01-04,Kyle Edmund,Lucas Pouille,,,RH,RH,M
2017-01-04,Stan Wawrinka,Viktor Troicki,,,RH,RH,M
2017-01-05,Grigor Dimitrov,Nicolas Mahut,,,RH,RH,M
2017-01-05,Dominic Thiem,Samuel Groth,,,RH,RH,M
2017-01-05,Milos Raonic,Diego Schwartzman,,,RH,RH,M
2017-01-05,Rafael Nadal,Mischa Zverev,,,LH,LH,M
2017-01-06,Stan Wawrinka,Kyle Edmund,,,RH,RH,M
2017-01-06,Grigor Dimitrov,Dominic Thiem,,,RH,RH,M
2017-01-06,Milos Raonic,Rafael Nadal,,,RH,LH,M
2017-01-07,Kei Nishikori,Stan Wawrinka,,,RH,RH,M
2017-01-07,Grigor Dimitrov,Milos Raonic,,,RH,RH,M
2017-01-08,Grigor Dimitrov,Kei Nishikori,,,RH,RH,M
2017-01-02,Dudi Sela,Damir Dzumhur,,,RH,RH,M
2017-01-02,Hyeon Chung,Borna Coric,,,RH,RH,M
2017-01-03,Benoit Paire,Konstantin Kravchuk,,,RH,RH,M
2017-01-04,Dudi Sela,Hyeon Chung,,,RH,RH,M
2017-01-05,Mikhail Youzhny,Renzo Olivo,,,RH,RH,M
2017-01-05,Aljaz Bedene,Martin Klizan,,,RH,LH,M
2017-01-06,Benoit Paire,Aljaz Bedene,,,RH,RH,M
2017-01-06,Roberto Bautista Agut,Mikhail Youzhny,,,RH,RH,M
2017-01-07,Roberto Bautista Agut,Benoit Paire,,,RH,RH,M
2017-01-02,Dustin Brown,Facundo Bagnis,,,RH,LH,M
2017-01-02,Nicolas Almagro,Paolo Lorenzi,,,RH,RH,M
2017-01-02,Horacio Zeballos,Florian Mayer,,,LH,RH,M
2017-01-02,David Goffin,Robin Haase,,,RH,RH,M
2017-01-02,Radek Stepanek,Marcos Baghdatis,,,RH,RH,M
2017-01-02,Arthur De Greef,Mohamed Safwat,,,RH,RH,M
2017-01-02,Fernando Verdasco,Vasek Pospisil,,,LH,RH,M
2017-01-03,Philipp Kohlschreiber,Malek Jaziri,,,RH,RH,M
2017-01-03,Ivo Karlovic,Illya Marchenko,,,RH,RH,M
2017-01-03,Andy Murray,Jeremy Chardy,,,RH,RH,M
