date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-01-13,Kevin Anderson,Jiri Vesely,,,RH,LH,M
2014-01-13,Ernests Gulbis,Juan Monaco,,,RH,RH,M
2014-01-13,Tomas Berdych,Aleksandr Nedovyesov,,,RH,RH,M
2014-01-13,Matthew Ebden,Nicolas Mahut,,,RH,RH,M
2014-01-13,Leonardo Mayer,Albert Montanes,,,RH,RH,M
2014-01-13,Tommy Robredo,Lukas Rosol,,,RH,RH,M
2014-01-13,Vasek Pospisil,Samuel Groth,,,RH,RH,M
2014-01-13,Pablo Andujar,Albert Ramos,,,RH,LH,M
2014-01-13,Nikolay Davydenko,Lukasz Kubot,,,RH,RH,M
2014-01-13,Dmitry Tursunov,Michael Russell,,,RH,RH,M
2014-01-13,Novak Djokovic,Lukas Lacko,,,RH,RH,M
2014-01-13,Denis Istomin,Marcos Baghdatis,,,RH,RH,M
2014-01-14,Dusan Lajovic,Lucas Pouille,,,RH,RH,M
2014-01-14,Grigor Dimitrov,Bradley Klahn,,,RH,LH,M
2014-01-14,Kei Nishikori,Marinko Matosevic,,,RH,RH,M
2014-01-14,Michal Przysiezny,Horacio Zeballos,,,RH,LH,M
2014-01-14,Stephane Robert,Aljaz Bedene,,,RH,RH,M
2014-01-14,Martin Klizan,John Isner,,,LH,RH,M
2014-01-14,Blaz Rola,Federico Delbonis,,,LH,LH,M
2014-01-14,Teymuraz Gabashvili,Sergiy Stakhovsky,,,RH,RH,M
2014-01-14,Blaz Kavcic,Radek Stepanek,,,RH,RH,M
2014-01-14,Thomaz Bellucci,Julian Reister,,,LH,RH,M
2014-01-14,Benoit Paire,Frank Dancevic,,,RH,RH,M
2014-01-14,Nick Kyrgios,Benjamin Becker,,,RH,RH,M
2014-01-14,Andreas Seppi,Lleyton Hewitt,,,RH,RH,M
2014-01-14,Michael Berrer,Michael Llodra,,,LH,LH,M
2014-01-14,Vincent Millot,Wayne Odesnik,,,LH,LH,M
2014-01-14,Feliciano Lopez,Somdev Devvarman,,,LH,RH,M
2014-01-14,Donald Young,Robin Haase,,,LH,RH,M
2014-01-14,Jack Sock,Tobias Kamke,,,RH,RH,M
