date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
04-01-22,Thanasi Kokkinakis,John Millman,,,RH,RH,M
05-01-22,Thanasi Kokkinakis,Francis Tiafoe,,,RH,RH,M
08-01-22,Gael Monfils,Thanasi Kokkinakis,,,RH,RH,M
04-01-22,Facundo Bagnis,Andy Murray,,,LH,RH,M
05-01-22,Ricardas Berankis,Marcos Giron,,,RH,RH,M
06-01-22,Grigor Dimitrov,Facundo Bagnis,,,RH,LH,M
06-01-22,Rafael Nadal,Ricardas Berankis,,,LH,RH,M
11-01-22,Steve Johnson,Alex Bolt,,,RH,LH,M
11-01-22,Thanasi Kokkinakis,Benoit Paire,,,RH,RH,M
12-01-22,Thanasi Kokkinakis,John Isner,,,RH,RH,M
14-01-22,Thanasi Kokkinakis,Marin Cilic,,,RH,RH,M
10-01-22,David Goffin,Facundo Bagnis,,,RH,LH,M
11-01-22,Denis Kudla,Federico Delbonis,,,RH,LH,M
12-01-22,David Goffin,Denis Kudla,,,RH,RH,M
12-01-22,Andy Murray,Nikoloz Basilashvili,,,RH,RH,M
13-01-22,Andy Murray,David Goffin,,,RH,RH,M
17-01-22,Dusan Lajovic,Marton Fucsovics,,,RH,RH,M
17-01-22,Cristian Garin,Facundo Bagnis,,,RH,LH,M
17-01-22,Radu Albot,Yoshihito Nishioka,,,RH,LH,M
17-01-22,Stefan Kozlov,Jiri Vesely,,,RH,LH,M
17-01-22,Rafael Nadal,Marcos Giron,,,LH,RH,M
17-01-22,John Millman,Feliciano Lopez,,,RH,LH,M
18-01-22,Diego Schwartzman,Filip Krajinovic,,,RH,RH,M
18-01-22,Philipp Kohlschreiber,Marco Cecchinato,,,RH,RH,M
18-01-22,Ricardas Berankis,Roberto Carballes Baena,,,RH,RH,M
18-01-22,Andy Murray,Nikoloz Basilashvili,,,RH,RH,M
18-01-22,Pablo Andujar,Damir Dzumhur,,,RH,RH,M
19-01-22,Alexander Zverev,John Millman,,,RH,RH,M
20-01-22,Marin Cilic,Norbert Gombos,,,RH,RH,M
20-01-22,Andrey Rublev,Ricardas Berankis,,,RH,RH,M
20-01-22,Roberto Bautista Agut,Philipp Kohlschreiber,,,RH,RH,M
20-01-22,Benoit Paire,Grigor Dimitrov,,,RH,RH,M
20-01-22,Taro Daniel,Andy Murray,,,RH,RH,M
21-01-22,Gael Monfils,Cristian Garin,,,RH,RH,M
21-01-22,Alexander Zverev,Radu Albot,,,RH,RH,M
22-01-22,Marin Cilic,Andrey Rublev,,,RH,RH,M
23-01-22,Rafael Nadal,Adrian Mannarino,,,LH,LH,M
01-02-22,Gilles Simon,Lucas Pouille,,,RH,RH,M
02-02-22,Roberto Bautista Agut,Gilles Simon,,,RH,RH,M
03-02-22,Damir Dzumhur,Nikoloz Basilashvili,,,RH,RH,M
03-02-22,Adrian Mannarino,David Goffin,,,LH,RH,M
04-02-22,Filip Krajinovic,Damir Dzumhur,,,RH,RH,M
04-02-22,Alexander Zverev,Adrian Mannarino,,,RH,LH,M
05-02-22,Joao Sousa,Elias Ymer,,,RH,RH,M
07-02-22,Dusan Lajovic,Benoit Paire,,,RH,RH,M
10-02-22,Federico Delbonis,Pablo Andujar,,,LH,RH,M
11-02-22,Federico Delbonis,Fabio Fognini,,,LH,RH,M
07-02-22,Kevin Anderson,Sam Querrey,,,RH,RH,M
08-02-22,Marcos Giron,Tennys Sandgren,,,RH,RH,M
09-02-22,Yoshihito Nishioka,Mitchell Krueger,,,LH,RH,M
09-02-22,Adrian Mannarino,Steve Johnson,,,LH,RH,M
10-02-22,John Isner,Kevin Anderson,,,RH,RH,M
11-02-22,Adrian Mannarino,Yoshihito Nishioka,,,LH,LH,M
12-02-22,John Isner,Vasek Pospisil,,,RH,RH,M
09-02-22,Marton Fucsovics,Filip Krajinovic,,,RH,RH,M
11-02-22,Andrey Rublev,Marton Fucsovics,,,RH,RH,M
14-02-22,Andreas Seppi,Peter Gojowczyk,,,RH,RH,M
15-02-22,Steve Johnson,Kevin Anderson,,,RH,RH,M
15-02-22,Denis Istomin,Sam Querrey,,,RH,RH,M
15-02-22,Marcos Giron,Tennys Sandgren,,,RH,RH,M
16-02-22,Stefan Kozlov,Steve Johnson,,,RH,RH,M
17-02-22,John Millman,Marcos Giron,,,RH,RH,M
