date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2018-01-01,Ryan Harrison,Leonardo Mayer,,,RH,RH,M
2018-01-01,Matthew Ebden,Francis Tiafoe,,,RH,RH,M
2018-01-02,Hyeon Chung,Gilles Muller,,,RH,LH,M
2018-01-02,Denis Istomin,Damir Dzumhur,,,RH,RH,M
2018-01-02,John Millman,Peter Polansky,,,RH,RH,M
2018-01-03,Nick Kyrgios,Matthew Ebden,,,RH,RH,M
2018-01-04,Denis Istomin,Jared Donaldson,,,RH,RH,M
2018-01-04,Kyle Edmund,Hyeon Chung,,,RH,RH,M
2018-01-04,Grigor Dimitrov,John Millman,,,RH,RH,M
2018-01-05,Ryan Harrison,Denis Istomin,,,RH,RH,M
2018-01-05,Grigor Dimitrov,Kyle Edmund,,,RH,RH,M
2018-01-06,Nick Kyrgios,Grigor Dimitrov,,,RH,RH,M
2018-01-07,Nick Kyrgios,Ryan Harrison,,,RH,RH,M
2018-01-01,Fernando Verdasco,Dudi Sela,,,LH,RH,M
2018-01-01,Dominic Thiem,Evgeny Donskoy,,,RH,RH,M
2018-01-01,Nikoloz Basilashvili,Thomas Fabbiano,,,RH,RH,M
2018-01-02,Borna Coric,Pablo Carreno Busta,,,RH,RH,M
2018-01-02,Peter Gojowczyk,Filip Krajinovic,,,RH,RH,M
2018-01-02,Aljaz Bedene,Malek Jaziri,,,RH,RH,M
2018-01-02,Gael Monfils,Paolo Lorenzi,,,RH,RH,M
2018-01-03,Borna Coric,Nikoloz Basilashvili,,,RH,RH,M
2018-01-03,Andrey Rublev,Fernando Verdasco,,,RH,LH,M
2018-01-03,Dominic Thiem,Aljaz Bedene,,,RH,RH,M
2018-01-04,Andrey Rublev,Borna Coric,,,RH,RH,M
2018-01-04,Gael Monfils,Peter Gojowczyk,,,RH,RH,M
2018-01-05,Andrey Rublev,Guido Pella,,,RH,LH,M
2018-01-05,Gael Monfils,Dominic Thiem,,,RH,RH,M
2018-01-06,Gael Monfils,Andrey Rublev,,,RH,RH,M
2018-01-01,Mikhail Kukushkin,Radu Albot,,,RH,RH,M
2018-01-01,Gilles Simon,Tennys Sandgren,,,RH,RH,M
2018-01-02,Robin Haase,Blaz Kavcic,,,RH,RH,M
2018-01-03,Benoit Paire,Marton Fucsovics,,,RH,RH,M
2018-01-03,Gilles Simon,Roberto Bautista Agut,,,RH,RH,M
2018-01-04,Kevin Anderson,Mikhail Kukushkin,,,RH,RH,M
2018-01-04,Benoit Paire,Robin Haase,,,RH,RH,M
2018-01-05,Gilles Simon,Marin Cilic,,,RH,RH,M
2018-01-05,Kevin Anderson,Benoit Paire,,,RH,RH,M
2018-01-06,Gilles Simon,Kevin Anderson,,,RH,RH,M
2018-01-07,Joao Sousa,Donald Young,,,RH,LH,M
2018-01-08,Pablo Cuevas,Taro Daniel,,,RH,RH,M
2018-01-08,Peter Gojowczyk,Tim Smyczek,,,RH,RH,M
2018-01-09,Jiri Vesely,Radu Albot,,,LH,RH,M
2018-01-09,Hyeon Chung,Tennys Sandgren,,,RH,RH,M
2018-01-09,Roberto Bautista Agut,Steve Johnson,,,RH,RH,M
2018-01-10,Robin Haase,Lukas Lacko,,,RH,RH,M
2018-01-10,Jiri Vesely,Sam Querrey,,,LH,RH,M
2018-01-10,Peter Gojowczyk,Jack Sock,,,RH,RH,M
2018-01-10,David Ferrer,Joao Sousa,,,RH,RH,M
2018-01-10,Hyeon Chung,John Isner,,,RH,RH,M
2018-01-10,Roberto Bautista Agut,Jiri Vesely,,,RH,LH,M
2018-01-11,Robin Haase,Peter Gojowczyk,,,RH,RH,M
2018-01-11,David Ferrer,Hyeon Chung,,,RH,RH,M
2018-01-12,Roberto Bautista Agut,Robin Haase,,,RH,RH,M
2018-01-08,Ricardas Berankis,Alex Bolt,,,RH,LH,M
2018-01-08,Adrian Mannarino,Evgeny Donskoy,,,LH,RH,M
2018-01-09,Leonardo Mayer,Mischa Zverev,,,RH,LH,M
2018-01-09,Benoit Paire,Aljaz Bedene,,,RH,RH,M
2018-01-09,Jared Donaldson,Gilles Simon,,,RH,RH,M
2018-01-10,Adrian Mannarino,Ricardas Berankis,,,LH,RH,M
2018-01-10,Benoit Paire,Leonardo Mayer,,,RH,RH,M
2018-01-10,Feliciano Lopez,Diego Schwartzman,,,LH,RH,M
2018-01-10,Gilles Muller,John Millman,,,LH,RH,M
2018-01-11,Fabio Fognini,Adrian Mannarino,,,RH,LH,M
2018-01-11,Benoit Paire,Gilles Muller,,,RH,LH,M
2018-01-15,Ryan Harrison,Dudi Sela,,,RH,RH,M
2018-01-15,Kyle Edmund,Kevin Anderson,,,RH,RH,M
2018-01-15,Pablo Carreno Busta,Jason Kubler,,,RH,RH,M
2018-01-15,Pablo Cuevas,Mikhail Youzhny,,,RH,RH,M
2018-01-15,Gilles Muller,Federico Delbonis,,,LH,LH,M
2018-01-15,Andrey Rublev,David Ferrer,,,RH,RH,M
2018-01-15,Matthew Ebden,John Isner,,,RH,RH,M
2018-01-15,Yoshihito Nishioka,Philipp Kohlschreiber,,,LH,RH,M
2018-01-15,Viktor Troicki,Alex Bolt,,,RH,LH,M
2018-01-15,Diego Schwartzman,Dusan Lajovic,,,RH,RH,M
2018-01-15,Marin Cilic,Vasek Pospisil,,,RH,RH,M
2018-01-15,Damir Dzumhur,Paolo Lorenzi,,,RH,RH,M
2018-01-15,Yuichi Sugita,Jack Sock,,,RH,RH,M
2018-01-15,Nikoloz Basilashvili,Gerald Melzer,,,RH,LH,M
2018-01-15,John Millman,Borna Coric,,,RH,RH,M
2018-01-15,Ruben Bemelmans,Lucas Pouille,,,LH,RH,M
2018-01-15,Joao Sousa,Dustin Brown,,,RH,RH,M
2018-01-16,Lukas Lacko,Milos Raonic,,,RH,RH,M
2018-01-16,Marton Fucsovics,Radu Albot,,,RH,RH,M
2018-01-16,Fernando Verdasco,Roberto Bautista Agut,,,LH,RH,M
2018-01-16,Julien Benneteau,Taro Daniel,,,RH,RH,M
2018-01-16,Sam Querrey,Feliciano Lopez,,,RH,LH,M
2018-01-16,Alexander Zverev,Thomas Fabbiano,,,RH,RH,M
2018-01-16,David Goffin,Matthias Bachinger,,,RH,RH,M
2018-01-16,Peter Gojowczyk,Mikhail Kukushkin,,,RH,RH,M
2018-01-16,Stan Wawrinka,Ricardas Berankis,,,RH,RH,M
2018-01-16,Evgeny Donskoy,Florian Mayer,,,RH,RH,M
2018-01-16,Denis Kudla,Steve Johnson,,,RH,RH,M
2018-01-16,Novak Djokovic,Donald Young,,,RH,LH,M
2018-01-16,Tennys Sandgren,Jeremy Chardy,,,RH,RH,M
2018-01-16,Fabio Fognini,Horacio Zeballos,,,RH,LH,M
2018-01-16,Richard Gasquet,Blaz Kavcic,,,RH,RH,M
2018-01-16,Hyeon Chung,Mischa Zverev,,,RH,LH,M
2018-01-16,Roger Federer,Aljaz Bedene,,,RH,RH,M
2018-01-16,Dominic Thiem,Guido Pella,,,RH,LH,M
2018-01-17,Nikoloz Basilashvili,Ruben Bemelmans,,,RH,LH,M
2018-01-17,Gilles Muller,Malek Jaziri,,,LH,RH,M
2018-01-17,Andreas Seppi,Yoshihito Nishioka,,,RH,LH,M
2018-01-17,Pablo Carreno Busta,Gilles Simon,,,RH,RH,M
2018-01-17,Kyle Edmund,Denis Istomin,,,RH,RH,M
2018-01-17,Ivo Karlovic,Yuichi Sugita,,,RH,RH,M
2018-01-17,Marin Cilic,Joao Sousa,,,RH,RH,M
2018-01-17,Damir Dzumhur,John Millman,,,RH,RH,M
2018-01-17,Ryan Harrison,Pablo Cuevas,,,RH,RH,M
